costoTotalItems,estado,lat,lon
11638,"ESTADO DE MEXICO","19.452003","-99.2387237"
20949,ZACATECAS,"22.266382","-101.981208"
97281,SONORA,"29.142137","-110.971344"
3388,SINALOA,"25.571292","-108.484725"
26426,"QUINTANA ROO","21.133514","-86.8301925"
10838,OAXACA,"16.316135","-98.2538146"
10838,OAXACA,"16.316135","-98.2538146"
5828,"BAJA CALIFORNIA","32.486751","-117.089706"
"207891.08000000002","ESTADO DE MEXICO","19.601840","-99.0506744"
11127,ZACATECAS,"23.833368","-103.025253"
118874,GUERRERO,"16.868423","-99.8916931"
26473,JALISCO,"20.596042","-103.431411"
345135,"QUINTANA ROO","21.100557","-87.4865188"
15645,"NUEVO LEON","25.694166","-100.188537"
26036,AGUASCALIENTES,"21.874557","-102.280365"
24770,"CIUDAD DE MEXICO","19.454082","-99.1252059"
12060,CHIHUAHUA,"28.601577","-105.930709"
4099,SINALOA,"23.924999","-106.896019"
35485,JALISCO,"20.625749","-103.363876"
58200,VERACRUZ,"20.527404","-97.4238052"
54504,"SAN LUIS POTOSI","22.002571","-99.0018386"
444508,YUCATAN,"20.984598","-89.6351013"
25471,QUERETARO,"20.621065","-100.459739"
"83498.78","BAJA CALIFORNIA","32.380992","-117.043754"
103315,"NUEVO LEON","25.738500","-100.407791"
120090,PUEBLA,"19.069269","-98.1274185"
145236,CHIHUAHUA,"28.731201","-106.128143"
3397,"SAN LUIS POTOSI","22.184291","-100.949050"
183490,"QUINTANA ROO","21.143255","-86.8423690"
22767,CHIHUAHUA,"30.438501","-107.904777"
217648,CHIHUAHUA,"31.612012","-106.414375"
9799,GUANAJUATO,"21.029539","-101.248840"
15344,"SAN LUIS POTOSI","21.801959","-100.730217"
371229,"BAJA CALIFORNIA SUR","22.890533","-109.916740"
107595,"CIUDAD DE MEXICO","19.436161","-99.1373138"
38441,YUCATAN,"21.036951","-89.5460510"
"83740.20999999999","BAJA CALIFORNIA","32.480911","-116.830658"
143980,YUCATAN,"21.027729","-89.5208740"
8011,MICHOACAN,"19.707283","-101.150764"
63396,VERACRUZ,"18.445827","-96.3598403"
18599,GUERRERO,"16.857286","-99.9089660"
5668,"BAJA CALIFORNIA SUR","25.050163","-111.671287"
10208,PUEBLA,"19.090257","-98.2609558"
138463,"CIUDAD DE MEXICO","19.351463","-99.0063781"
133086,"SAN LUIS POTOSI","22.149040","-101.037063"
45970,"NUEVO LEON","25.755794","-100.105857"
20942,VERACRUZ,"17.828884","-95.8220214"
173015,MICHOACAN,"46.879680","-110.362564"
1734,SINALOA,"23.284770","-106.395469"
767,DURANGO,"24.523584","-104.779258"
72231,SONORA,"31.326822","-113.531181"
3460,DURANGO,"25.557418","-103.540855"
219968,"ESTADO DE MEXICO","19.524787","-99.2253265"
9360,JALISCO,"20.637285","-105.210334"
10797,AGUASCALIENTES,"22.194503","-102.018997"
"256014.09","CIUDAD DE MEXICO","19.287673","-99.1618118"
5195,COAHUILA,"27.862993","-101.137672"
56369,CHIHUAHUA,"27.116998","-104.911872"
34859,ZACATECAS,"22.752912","-102.539306"
5402,YUCATAN,"20.968763","-89.5703811"
